Keqs,Glycolysis,Glycolysis + Hb,Glycolysis + PFK,Glycolysis + PYK,Glycolysis + Hb + HEX1,Glycolysis + Hb + PFK,Glycolysis + Hb + PYK,Glycolysis + PFK + PYK,Glycolysis + Hb + PFK + PYK,Glycolysis + Hb + HEX1 + PFK,Glycolysis + Hb + HEX1 + PYK,Glycolysis + Hb + HEX1 + PFK + PYK,Reference (DOI)
Keq_DM_nadh,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,https://doi.org/10.1017/CBO9780511736179
Keq_S_glc__D_e,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,https://doi.org/10.1017/CBO9780511736179
Keq_S_amp_e,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,https://doi.org/10.1017/CBO9780511736179
Keq_EX_h_e,1,1,1,1,1,1,1,1,1,1,1,1,https://doi.org/10.1017/CBO9780511736179
Keq_EX_h2o_e,1,1,1,1,1,1,1,1,1,1,1,1,https://doi.org/10.1017/CBO9780511736179
Keq_EX_pi_e,1,1,1,1,1,1,1,1,1,1,1,1,https://doi.org/10.1017/CBO9780511736179
Keq_DPGM,-,2300000,-,-,2300000,2300000,2300000,-,2300000,2300000,2300000,2300000,https://doi.org/10.1017/CBO9780511736179
Keq_DPGase,-,inf,-,-,inf,inf,inf,-,inf,inf,inf,inf,https://doi.org/10.1017/CBO9780511736179
Keq_HBO1,-,41.8352,-,-,41.8352,41.8352,41.8352,-,41.8352,41.8352,41.8352,41.8352,https://doi.org/10.1017/CBO9780511736179
Keq_HBO2,-,73.2115,-,-,73.2115,73.2115,73.2115,-,73.2115,73.2115,73.2115,73.2115,https://doi.org/10.1017/CBO9780511736179
Keq_HBO3,-,177.799,-,-,177.799,177.799,177.799,-,177.799,177.799,177.799,177.799,https://doi.org/10.1017/CBO9780511736179
Keq_HBO4,-,1289.92,-,-,1289.92,1289.92,1289.92,-,1289.92,1289.92,1289.92,1289.92,https://doi.org/10.1017/CBO9780511736179
Keq_HBDPG,-,0.25,-,-,0.25,0.25,0.25,-,0.25,0.25,0.25,0.25,https://doi.org/10.1017/CBO9780511736179
Keq_EX_o2_e,-,1,-,-,1,1,1,-,1,1,1,1,https://doi.org/10.1017/CBO9780511736179
Keq_HEX1_1,-,-,-,-,1,-,-,-,-,1,1,1,https://doi.org/10.1186/s12918-016-0283-2
Keq_HEX1_2,-,-,-,-,0.015,-,-,-,-,0.015,0.015,0.015,https://doi.org/10.1186/s12918-016-0283-2
Keq_HEX1_G,-,-,-,-,26.3158,-,-,-,-,26.3158,26.3158,26.3158,https://doi.org/10.1186/s12918-016-0283-2
Keq_HEX1_A,-,-,-,-,0.485437,-,-,-,-,0.485437,0.485437,0.485437,https://doi.org/10.1186/s12918-016-0283-2
Keq_HEX1_5,-,-,-,-,0.181818,-,-,-,-,0.181818,0.181818,0.181818,https://doi.org/10.1186/s12918-016-0283-2
Keq_HEX1,-,-,-,-,313.12,-,-,-,-,313.12,313.12,313.12,https://doi.org/10.1186/s12918-016-0283-2
Keq_PFK_A,-,-,14.7059,-,-,14.7059,-,14.7059,14.7059,14.7059,-,14.7059,https://doi.org/10.1016/S0022-5193(05)80012-8
Keq_PFK_F,-,-,10,-,-,10,-,10,10,10,-,10,https://doi.org/10.1016/S0022-5193(05)80012-8
Keq_PFK,-,-,inf,-,-,inf,-,inf,inf,inf,-,inf,https://doi.org/10.1016/S0022-5193(05)80012-8
Keq_PFK_ACT,-,-,30.303,-,-,30.303,-,30.303,30.303,30.303,-,30.303,https://doi.org/10.1016/S0022-5193(05)80012-8
Keq_PFK_L,-,-,0.0011,-,-,0.0011,-,0.0011,0.0011,0.0011,-,0.0011,https://doi.org/10.1016/S0022-5193(05)80012-8
Keq_PFK_I,-,-,10,-,-,10,-,10,10,10,-,10,https://doi.org/10.1016/S0022-5193(05)80012-8
Keq_PYK_P,-,-,-,4.44444,-,-,4.44444,4.44444,4.44444,-,4.44444,4.44444,https://doi.org/10.1016/S0022-5193(05)80012-8
Keq_PYK_A,-,-,-,2.1097,-,-,2.1097,2.1097,2.1097,-,2.1097,2.1097,https://doi.org/10.1016/S0022-5193(05)80012-8
Keq_PYK,-,-,-,inf,-,-,inf,inf,inf,-,inf,inf,https://doi.org/10.1016/S0022-5193(05)80012-8
Keq_PYK_ACT,-,-,-,200,-,-,200,200,200,-,200,200,https://doi.org/10.1016/S0022-5193(05)80012-8
Keq_PYK_L,-,-,-,19,-,-,19,19,19,-,19,19,https://doi.org/10.1016/S0022-5193(05)80012-8
Keq_PYK_I,-,-,-,0.294985,-,-,0.294985,0.294985,0.294985,-,0.294985,0.294985,https://doi.org/10.1016/S0022-5193(05)80012-8
